73,5.1,3.5,1.4,0.2,Iris-setosa
74,4.9,3.0,1.4,0.2,Iris-setosa
75,4.7,3.2,1.3,0.2,Iris-setosa
76,4.6,3.1,1.5,0.2,Iris-setosa
77,5.0,3.6,1.4,0.2,Iris-setosa
78,5.4,3.9,1.7,0.4,Iris-setosa
79,4.6,3.4,1.4,0.3,Iris-setosa
80,5.0,3.4,1.5,0.2,Iris-setosa
81,4.4,2.9,1.4,0.2,Iris-setosa
82,4.9,3.1,1.5,0.1,Iris-setosa
83,5.4,3.7,1.5,0.2,Iris-setosa
84,4.8,3.4,1.6,0.2,Iris-setosa
85,4.8,3.0,1.4,0.1,Iris-setosa
86,4.3,3.0,1.1,0.1,Iris-setosa
87,5.8,4.0,1.2,0.2,Iris-setosa
88,5.7,4.4,1.5,0.4,Iris-setosa
89,5.4,3.9,1.3,0.4,Iris-setosa
90,5.1,3.5,1.4,0.3,Iris-setosa
91,5.7,3.8,1.7,0.3,Iris-setosa
92,5.1,3.8,1.5,0.3,Iris-setosa
93,5.4,3.4,1.7,0.2,Iris-setosa
94,5.1,3.7,1.5,0.4,Iris-setosa
95,4.6,3.6,1.0,0.2,Iris-setosa
96,5.1,3.3,1.7,0.5,Iris-setosa
97,4.8,3.4,1.9,0.2,Iris-setosa
98,5.0,3.0,1.6,0.2,Iris-setosa
99,5.0,3.4,1.6,0.4,Iris-setosa
100,5.2,3.5,1.5,0.2,Iris-setosa
101,5.2,3.4,1.4,0.2,Iris-setosa
102,4.7,3.2,1.6,0.2,Iris-setosa
103,4.8,3.1,1.6,0.2,Iris-setosa
104,5.4,3.4,1.5,0.4,Iris-setosa
105,5.2,4.1,1.5,0.1,Iris-setosa
106,5.5,4.2,1.4,0.2,Iris-setosa
107,4.9,3.1,1.5,0.1,Iris-setosa
108,5.0,3.2,1.2,0.2,Iris-setosa
109,5.5,3.5,1.3,0.2,Iris-setosa
110,4.9,3.1,1.5,0.1,Iris-setosa
111,4.4,3.0,1.3,0.2,Iris-setosa
112,5.1,3.4,1.5,0.2,Iris-setosa
113,5.0,3.5,1.3,0.3,Iris-setosa
114,4.5,2.3,1.3,0.3,Iris-setosa
115,4.4,3.2,1.3,0.2,Iris-setosa
116,5.0,3.5,1.6,0.6,Iris-setosa
117,5.1,3.8,1.9,0.4,Iris-setosa
118,4.8,3.0,1.4,0.3,Iris-setosa
119,5.1,3.8,1.6,0.2,Iris-setosa
120,4.6,3.2,1.4,0.2,Iris-setosa
121,5.3,3.7,1.5,0.2,Iris-setosa
122,5.0,3.3,1.4,0.2,Iris-setosa
123,7.0,3.2,4.7,1.4,Iris-versicolor
124,6.4,3.2,4.5,1.5,Iris-versicolor
125,6.9,3.1,4.9,1.5,Iris-versicolor
126,5.5,2.3,4.0,1.3,Iris-versicolor
127,6.5,2.8,4.6,1.5,Iris-versicolor
128,5.7,2.8,4.5,1.3,Iris-versicolor
129,6.3,3.3,4.7,1.6,Iris-versicolor
130,4.9,2.4,3.3,1.0,Iris-versicolor
131,6.6,2.9,4.6,1.3,Iris-versicolor
132,5.2,2.7,3.9,1.4,Iris-versicolor
133,5.0,2.0,3.5,1.0,Iris-versicolor
134,5.9,3.0,4.2,1.5,Iris-versicolor
135,6.0,2.2,4.0,1.0,Iris-versicolor
136,6.1,2.9,4.7,1.4,Iris-versicolor
137,5.6,2.9,3.6,1.3,Iris-versicolor
138,6.7,3.1,4.4,1.4,Iris-versicolor
139,5.6,3.0,4.5,1.5,Iris-versicolor
140,5.8,2.7,4.1,1.0,Iris-versicolor
141,6.2,2.2,4.5,1.5,Iris-versicolor
142,5.6,2.5,3.9,1.1,Iris-versicolor
143,5.9,3.2,4.8,1.8,Iris-versicolor
144,6.1,2.8,4.0,1.3,Iris-versicolor
145,6.3,2.5,4.9,1.5,Iris-versicolor
146,6.1,2.8,4.7,1.2,Iris-versicolor
147,6.4,2.9,4.3,1.3,Iris-versicolor
148,6.6,3.0,4.4,1.4,Iris-versicolor
149,6.8,2.8,4.8,1.4,Iris-versicolor
150,6.7,3.0,5.0,1.7,Iris-versicolor
151,6.0,2.9,4.5,1.5,Iris-versicolor
152,5.7,2.6,3.5,1.0,Iris-versicolor
153,5.5,2.4,3.8,1.1,Iris-versicolor
154,5.5,2.4,3.7,1.0,Iris-versicolor
155,5.8,2.7,3.9,1.2,Iris-versicolor
156,6.0,2.7,5.1,1.6,Iris-versicolor
157,5.4,3.0,4.5,1.5,Iris-versicolor
158,6.0,3.4,4.5,1.6,Iris-versicolor
159,6.7,3.1,4.7,1.5,Iris-versicolor
160,6.3,2.3,4.4,1.3,Iris-versicolor
161,5.6,3.0,4.1,1.3,Iris-versicolor
162,5.5,2.5,4.0,1.3,Iris-versicolor
163,5.5,2.6,4.4,1.2,Iris-versicolor
164,6.1,3.0,4.6,1.4,Iris-versicolor
165,5.8,2.6,4.0,1.2,Iris-versicolor
166,5.0,2.3,3.3,1.0,Iris-versicolor
167,5.6,2.7,4.2,1.3,Iris-versicolor
168,5.7,3.0,4.2,1.2,Iris-versicolor
169,5.7,2.9,4.2,1.3,Iris-versicolor
170,6.2,2.9,4.3,1.3,Iris-versicolor
171,5.1,2.5,3.0,1.1,Iris-versicolor
172,5.7,2.8,4.1,1.3,Iris-versicolor
173,6.3,3.3,6.0,2.5,Iris-virginica
174,5.8,2.7,5.1,1.9,Iris-virginica
175,7.1,3.0,5.9,2.1,Iris-virginica
176,6.3,2.9,5.6,1.8,Iris-virginica
177,6.5,3.0,5.8,2.2,Iris-virginica
178,7.6,3.0,6.6,2.1,Iris-virginica
179,4.9,2.5,4.5,1.7,Iris-virginica
180,7.3,2.9,6.3,1.8,Iris-virginica
181,6.7,2.5,5.8,1.8,Iris-virginica
182,7.2,3.6,6.1,2.5,Iris-virginica
183,6.5,3.2,5.1,2.0,Iris-virginica
184,6.4,2.7,5.3,1.9,Iris-virginica
185,6.8,3.0,5.5,2.1,Iris-virginica
186,5.7,2.5,5.0,2.0,Iris-virginica
187,5.8,2.8,5.1,2.4,Iris-virginica
188,6.4,3.2,5.3,2.3,Iris-virginica
189,6.5,3.0,5.5,1.8,Iris-virginica
190,7.7,3.8,6.7,2.2,Iris-virginica
191,7.7,2.6,6.9,2.3,Iris-virginica
192,6.0,2.2,5.0,1.5,Iris-virginica
193,6.9,3.2,5.7,2.3,Iris-virginica
194,5.6,2.8,4.9,2.0,Iris-virginica
195,7.7,2.8,6.7,2.0,Iris-virginica
196,6.3,2.7,4.9,1.8,Iris-virginica
197,6.7,3.3,5.7,2.1,Iris-virginica
198,7.2,3.2,6.0,1.8,Iris-virginica
199,6.2,2.8,4.8,1.8,Iris-virginica
200,6.1,3.0,4.9,1.8,Iris-virginica
201,6.4,2.8,5.6,2.1,Iris-virginica
202,7.2,3.0,5.8,1.6,Iris-virginica
203,7.4,2.8,6.1,1.9,Iris-virginica
204,7.9,3.8,6.4,2.0,Iris-virginica
205,6.4,2.8,5.6,2.2,Iris-virginica
206,6.3,2.8,5.1,1.5,Iris-virginica
207,6.1,2.6,5.6,1.4,Iris-virginica
208,7.7,3.0,6.1,2.3,Iris-virginica
209,6.3,3.4,5.6,2.4,Iris-virginica
210,6.4,3.1,5.5,1.8,Iris-virginica
211,6.0,3.0,4.8,1.8,Iris-virginica
212,6.9,3.1,5.4,2.1,Iris-virginica
213,6.7,3.1,5.6,2.4,Iris-virginica
214,6.9,3.1,5.1,2.3,Iris-virginica
215,5.8,2.7,5.1,1.9,Iris-virginica
216,6.8,3.2,5.9,2.3,Iris-virginica
217,6.7,3.3,5.7,2.5,Iris-virginica
218,6.7,3.0,5.2,2.3,Iris-virginica
219,6.3,2.5,5.0,1.9,Iris-virginica
220,6.5,3.0,5.2,2.0,Iris-virginica
221,6.2,3.4,5.4,2.3,Iris-virginica
222,5.9,3.0,5.1,1.8,Iris-virginica












































































